id,S_ime,W_time,R_time,Processors,type,Max_resource,Min_resource
190719,55664051,2,363,32,1,32,32
190720,55664203,2,4710,64,1,64,64
190721,55664321,1,11521,512,1,512,512
190722,55665156,1,6464,32,1,32,32
190723,55665709,4,13,64,1,64,64
190724,55666952,2,886,32,1,32,32
190725,55667007,1,310,32,1,32,32
190726,55667100,1,6864,128,1,128,128
190727,55667224,2,91,128,1,128,128
190728,55667330,1,19,64,1,64,64
190729,55667359,1,222,128,1,128,128
190730,55667608,2,170,128,1,128,128
190731,55667726,55,6850,128,1,128,128
190732,55667893,2,12,64,1,64,64
190733,55668168,2,13,64,1,64,64
190734,55668219,1,850,128,1,128,128
190735,55668442,2,248,32,1,32,32
190736,55668912,5,4633,64,1,64,64
190737,55668918,1,17,64,1,64,64
190738,55669324,1,223,32,1,32,32
190739,55669367,1,17,64,1,64,64
190740,55669521,2,1143,128,1,128,128
190741,55669525,1,9,64,1,64,64
190742,55669781,4,8912,256,1,256,256
190743,55669933,1,413,32,1,32,32
190744,55670078,1,11,64,1,64,64
190745,55670456,1,9522,64,1,64,64
190746,55670475,2,21,64,1,64,64
190747,55670983,2,1035,128,1,128,128
190748,55670989,2,717,32,1,32,32
190749,55671317,1,11,64,1,64,64
190750,55671733,2,72,32,1,32,32
190751,55671796,2,236,32,1,32,32
190752,55672116,2,1588,32,1,32,32
190753,55672563,2,231,32,1,32,32
190754,55672572,2,13,64,1,64,64
190755,55672899,1,147,32,1,32,32
190756,55673098,1,13,64,1,64,64
190757,55673221,29811,1587,128,1,128,128
190758,55673378,2,11,64,1,64,64
190759,55673547,5,4843,64,1,64,64
190760,55673692,2,13,64,1,64,64
190761,55673801,2,1727,32,1,32,32
190762,55674346,2,10,64,1,64,64
190763,55674538,2,218,64,1,64,64
190764,55674628,5,4811,128,1,128,128
190765,55675028,1,16,64,1,64,64
190766,55675445,3,16,64,1,64,64
190767,55675842,22,393,64,1,64,64
190768,55676396,2,26857,512,1,512,512
190769,55677141,1,15,64,1,64,64
190770,55677459,1,39,128,1,128,128
190771,55677883,2,52,64,1,64,64
190772,55677891,2,206,64,1,64,64
190773,55678185,1,32,64,1,64,64
190775,55678337,3,50,64,1,64,64
190776,55678391,6,14248,64,1,64,64
190777,55678696,3,20734,256,1,256,256
190778,55678725,7,219,128,1,128,128
190779,55679140,2,198,128,1,128,128
190780,55679424,3,291,128,1,128,128
190781,55679442,4,9632,128,1,128,128
190782,55679768,2,94,32,1,32,32
190783,55679866,4,82,32,1,32,32
190784,55679958,1,11123,64,1,64,64
190785,55690012,81173,25111,128,1,128,128
190786,55699432,3667,17507,256,1,256,256
190787,55703438,2,22583,512,1,512,512
190788,55716538,0,30,32,1,32,32
190789,55716566,67,11396,32,1,32,32
190790,55716663,0,59,32,1,32,32
190791,55716954,56928,13152,64,1,64,64
190792,55720604,5,10073,256,1,256,256
190793,55730680,4,2255,512,1,512,512
190794,55731050,1,1356,256,1,256,256
190795,55731509,42241,12176,32,1,32,32
190796,55732421,2,1268,256,1,256,256
190797,55735645,2,11426,512,1,512,512
190798,55737525,1,23,32,1,32,32
190801,55739855,3,6993,128,1,128,128
190802,55740017,2,3531,64,1,64,64
190803,55740292,2,58,32,1,32,32
190804,55740749,2,1277,32,1,32,32
190806,55741180,63,1998,32,1,32,32
190807,55741613,4,148,32,1,32,32
190809,55742020,1,2270,256,1,256,256
190810,55742951,2,12,128,1,128,128
190811,55742988,2,277,32,1,32,32
190813,55743275,5,35,32,1,32,32
190814,55743408,1,87,32,1,32,32
190815,55743634,2,349,64,1,64,64
190818,55744863,2,2543,32,1,32,32
190819,55745195,2,24,32,1,32,32
190820,55745276,1,1841,64,1,64,64
190821,55745669,2,7226,32,1,32,32
190822,55745744,3,20,32,1,32,32
190823,55745774,2,5039,64,1,64,64
190824,55745804,10,2609,64,1,64,64
190825,55745963,2,1626,128,1,128,128
190826,55745992,2,17,32,1,32,32
190827,55746116,2,17,32,1,32,32
190828,55746441,2,75,32,1,32,32
190829,55746554,2,157,32,1,32,32
190830,55746686,3,663,32,1,32,32
190831,55746850,4,4550,128,1,128,128
190832,55747097,1,6904,512,1,512,512
190833,55747637,4,348,128,1,128,128
190834,55748693,1,932,256,1,256,256
190835,55748768,37159,3,32,1,32,32
190836,55748877,2,369,64,1,64,64
190837,55749634,2,4237,256,1,256,256
190838,55750221,2,90,32,1,32,32
190839,55750421,2,64,32,1,32,32
190840,55750546,2,2123,32,1,32,32
190841,55750811,6,3947,64,1,64,64
190842,55751402,4,8579,128,1,128,128
190843,55751977,3,5659,32,1,32,32
190844,55752547,4,327,32,1,32,32
190845,55753521,2,162,32,1,32,32
190846,55753526,1,1808,64,1,64,64
190847,55753756,1,434,32,1,32,32
190848,55753880,1,395,256,1,256,256
