S_ime,W_time,R_time,Processors,id,type,Max_resource,Min_resource
32759322,1,6360,32,73969,1,32,32
32760309,2,140,64,73970,1,64,64
32760460,2,65,64,73971,1,64,64
32760523,1,1068,64,73972,1,64,64
32760949,2,118,64,73973,1,64,64
32761302,1,1151,64,73974,1,64,64
32761636,1,4181,64,73975,1,64,64
32762184,12,5689,32,73976,1,32,32
32762231,3,44,64,73977,1,64,64
32762287,1,58,64,73978,1,64,64
32762298,0,47,64,73979,1,64,64
32762360,2,1186,64,73980,1,64,64
32762465,2,3213,64,73981,1,64,64
32763571,2,11,32,73982,1,32,32
32763679,1,8058,512,73983,1,512,512
32763782,12,14,32,73984,1,32,32
32763924,2,1069,64,73985,1,64,64
32764003,2,3809,32,73986,1,32,32
32764151,4,422,128,73987,1,128,128
32764475,978,6602,128,73988,1,128,128
32764857,726,691,128,73989,1,128,128
32765245,2,12,32,73990,1,32,32
32765793,15,661,128,73991,1,128,128
32766097,4,806,64,73992,1,64,64
32766403,13430,1429,256,73993,1,256,256
32767320,4,11,32,73994,1,32,32
32767386,1,2040,32,73995,1,32,32
32767580,1,2262,128,73996,1,128,128
32767734,2,5793,64,73997,1,64,64
32767741,2,5111,64,73998,1,64,64
32768264,1,842,128,73999,1,128,128
32768415,2,5876,32,74000,1,32,32
32768697,1,792,64,74001,1,64,64
32769094,2962,4470,128,74002,1,128,128
32769603,2,12,32,74003,1,32,32
32769682,2382,42,128,74004,1,128,128
32769706,2,6,32,74005,1,32,32
32769806,1,670,128,74006,1,128,128
32769840,4,332,128,74007,1,128,128
32769877,2,10,32,74008,1,32,32
32769985,2,8612,32,74009,1,32,32
32770088,2,10,32,74010,1,32,32
32770116,2052,4334,128,74011,1,128,128
32770525,2,5204,32,74012,1,32,32
32770626,2,26,128,74013,1,128,128
32770789,2,628,128,74014,1,128,128
32770924,2,801,64,74015,1,64,64
32771721,18,8076,512,74016,1,512,512
32771908,165,29,32,74017,1,32,32
32772101,2,5158,64,74018,1,64,64
32772208,1,9,32,74019,1,32,32
32772436,2,9,32,74020,1,32,32
32772669,1,1574,64,74021,1,64,64
32772849,6,5004,64,74022,1,64,64
32773620,8,447,128,74023,1,128,128
32774287,2,1433,32,74024,1,32,32
32774294,2,9,32,74025,1,32,32
32774419,19,13,32,74026,1,32,32
32774441,5375,13431,512,74027,1,512,512
32774564,2,7316,64,74028,1,64,64
32774665,6,52,32,74029,1,32,32
32775363,3,7170,128,74030,1,128,128
32775670,4,322,64,74031,1,64,64
